epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.815,0.84224,0.53101,0.85135,0.96543,0.94469,0.96247,0.85575,0.59172,0.34114,0.81505,0.000368751,0.000368751,0.000368751
2,569.46,0.65063,0.36357,0.81023,0.97724,0.94589,0.96433,0.86696,0.51864,0.30995,0.80482,0.000709816,0.000709816,0.000709816
3,852.38,0.61424,0.34485,0.80597,0.97072,0.94487,0.96207,0.88047,0.51678,0.3078,0.80501,0.00102155,0.00102155,0.00102155
4,1136.91,0.60148,0.33503,0.80117,0.9727,0.94445,0.96178,0.8954,0.4378,0.27304,0.80197,0.000979013,0.000979013,0.000979013
5,1419.98,0.55852,0.31649,0.79706,0.97176,0.94305,0.96236,0.90119,0.4487,0.28,0.7989,0.000935018,0.000935018,0.000935018
6,1704.21,0.51997,0.30206,0.79596,0.97795,0.94374,0.96504,0.90643,0.41871,0.26482,0.79867,0.000891022,0.000891022,0.000891022
7,1986.55,0.52085,0.29859,0.79428,0.97604,0.94417,0.96449,0.9128,0.38298,0.24514,0.79722,0.000847026,0.000847026,0.000847026
8,2269.97,0.48465,0.28249,0.79112,0.97776,0.94573,0.96496,0.91807,0.35606,0.23421,0.79588,0.000803031,0.000803031,0.000803031
9,2555.12,0.47555,0.2757,0.79199,0.97482,0.94606,0.96559,0.91782,0.37501,0.24047,0.79589,0.000759035,0.000759035,0.000759035
10,2838.1,0.46698,0.2719,0.78889,0.97587,0.94291,0.96385,0.91614,0.36663,0.22632,0.79523,0.00071504,0.00071504,0.00071504
11,3121.84,0.44768,0.2633,0.78882,0.97682,0.94632,0.96479,0.92354,0.34583,0.22571,0.7951,0.000671044,0.000671044,0.000671044
12,3405.97,0.43855,0.25955,0.78744,0.97606,0.94815,0.96488,0.91983,0.35415,0.22502,0.79415,0.000627048,0.000627048,0.000627048
13,3688.96,0.43841,0.26059,0.78874,0.97732,0.94511,0.96498,0.9207,0.34445,0.22498,0.79557,0.000583053,0.000583053,0.000583053
14,3973.91,0.43484,0.25792,0.78733,0.97463,0.94333,0.96377,0.92403,0.34348,0.21712,0.79444,0.000539057,0.000539057,0.000539057
15,4256.58,0.42034,0.25038,0.78666,0.97981,0.94589,0.96604,0.93186,0.30434,0.19837,0.79257,0.000495062,0.000495062,0.000495062
16,4526.05,0.3755,0.2392,0.77108,0.97972,0.94578,0.96485,0.93107,0.30912,0.20954,0.79264,0.000451066,0.000451066,0.000451066
17,4794.4,0.35136,0.22837,0.77137,0.97985,0.94556,0.96461,0.92989,0.31193,0.20629,0.79227,0.00040707,0.00040707,0.00040707
18,5063.28,0.34826,0.22745,0.76978,0.9775,0.94654,0.96528,0.93213,0.31544,0.20993,0.79168,0.000363075,0.000363075,0.000363075
19,5331.69,0.34418,0.22461,0.77138,0.98217,0.93959,0.96319,0.93329,0.30738,0.20006,0.79192,0.000319079,0.000319079,0.000319079
20,5598.33,0.34144,0.22033,0.76825,0.98041,0.94689,0.96485,0.92858,0.32375,0.21089,0.7917,0.000275084,0.000275084,0.000275084
21,5866.85,0.33943,0.21867,0.77067,0.97784,0.94831,0.9653,0.93316,0.31193,0.19967,0.79168,0.000231088,0.000231088,0.000231088
22,6135.76,0.31967,0.20876,0.76885,0.98006,0.94701,0.96612,0.93804,0.28228,0.19182,0.79071,0.000187092,0.000187092,0.000187092
23,6404.34,0.30679,0.20396,0.76926,0.97895,0.94528,0.96478,0.93768,0.27896,0.18806,0.79136,0.000143097,0.000143097,0.000143097
24,6672.82,0.304,0.20339,0.76878,0.97595,0.94747,0.96433,0.939,0.28576,0.19399,0.79123,9.91012e-05,9.91012e-05,9.91012e-05
25,6941.58,0.30276,0.20149,0.76803,0.98005,0.95033,0.96492,0.93849,0.27843,0.18765,0.79074,5.51056e-05,5.51056e-05,5.51056e-05
