epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3760.32,1.69958,0.86223,1.0682,0.87869,0.68668,0.78463,0.52097,1.49976,0.72453,1.00147,0.000296413,0.000296413,0.000296413
2,7504.7,1.43838,0.69106,0.9912,0.92279,0.63101,0.78478,0.51132,1.45344,0.65689,0.99785,0.000575676,0.000575676,0.000575676
3,11247.6,1.36423,0.65624,0.97374,0.91228,0.70378,0.81359,0.57301,1.35755,0.63396,0.97157,0.000830942,0.000830942,0.000830942
4,15041.5,1.32322,0.63387,0.95986,0.92139,0.712,0.8261,0.56192,1.38508,0.6382,0.97344,0.000801011,0.000801011,0.000801011
5,18829.8,1.27128,0.61944,0.95224,0.93281,0.70837,0.82347,0.56808,1.31482,0.61144,0.96038,0.000765014,0.000765014,0.000765014
6,22592.1,1.24957,0.60977,0.94481,0.94114,0.64549,0.80005,0.57226,1.21303,0.59165,0.93557,0.000729018,0.000729018,0.000729018
7,26337.5,1.22727,0.6026,0.94031,0.928,0.71117,0.82771,0.59454,1.21716,0.58509,0.93718,0.000693022,0.000693022,0.000693022
8,30123.1,1.1958,0.5924,0.9354,0.9581,0.64992,0.80878,0.59442,1.14668,0.56868,0.92334,0.000657025,0.000657025,0.000657025
9,33882,1.19623,0.59085,0.93392,0.93351,0.68629,0.82105,0.60173,1.16622,0.56789,0.92739,0.000621029,0.000621029,0.000621029
10,37642.3,1.17582,0.58692,0.92871,0.96275,0.65151,0.81088,0.59561,1.12948,0.56438,0.91623,0.000585032,0.000585032,0.000585032
11,41425.7,1.16649,0.58135,0.92483,0.94976,0.70484,0.8326,0.60055,1.20562,0.58478,0.93236,0.000549036,0.000549036,0.000549036
12,45198.4,1.15658,0.57707,0.92512,0.96668,0.66106,0.81723,0.59889,1.11398,0.54773,0.91323,0.00051304,0.00051304,0.00051304
13,48974.2,1.13556,0.57293,0.91876,0.9632,0.64155,0.80645,0.59909,1.08617,0.54645,0.91023,0.000477043,0.000477043,0.000477043
14,52735,1.13545,0.57233,0.9212,0.93805,0.71891,0.835,0.62839,1.08326,0.54375,0.90595,0.000441047,0.000441047,0.000441047
15,56492,1.1157,0.56549,0.9193,0.96923,0.67749,0.82736,0.63042,1.04431,0.5336,0.89772,0.00040505,0.00040505,0.00040505
16,58651.5,1.08948,0.62407,0.91689,0.92924,0.70517,0.82289,0.59394,1.17621,0.59747,0.92886,0.000369054,0.000369054,0.000369054
17,60802.8,1.05818,0.56162,0.90808,0.93245,0.71803,0.83319,0.61161,1.1437,0.587,0.91369,0.000333058,0.000333058,0.000333058
18,62949.2,1.02589,0.54527,0.90363,0.96365,0.68112,0.82538,0.61205,1.0991,0.56374,0.90548,0.000297061,0.000297061,0.000297061
19,65089.5,1.02179,0.53904,0.89986,0.96675,0.68086,0.8271,0.62692,1.0393,0.53555,0.89457,0.000261065,0.000261065,0.000261065
20,67208.9,1.00141,0.53156,0.8952,0.96306,0.71022,0.8397,0.64774,0.9953,0.52309,0.8857,0.000225068,0.000225068,0.000225068
21,69306.9,0.99522,0.52797,0.89605,0.96582,0.70705,0.84024,0.65234,1.00645,0.52412,0.8875,0.000189072,0.000189072,0.000189072
22,71398.7,0.98447,0.52573,0.89368,0.96295,0.72027,0.84578,0.65991,0.9747,0.51258,0.88084,0.000153076,0.000153076,0.000153076
23,73506.1,0.96839,0.51884,0.89114,0.96867,0.6833,0.82961,0.65313,0.96632,0.5105,0.88018,0.000117079,0.000117079,0.000117079
24,75637.2,0.96464,0.51704,0.89017,0.97071,0.68451,0.83068,0.64487,0.98316,0.51299,0.88381,8.10828e-05,8.10828e-05,8.10828e-05
25,77769.3,0.96033,0.51652,0.89117,0.96127,0.72469,0.84807,0.66864,0.94895,0.50252,0.87685,4.50864e-05,4.50864e-05,4.50864e-05
